customer_id,customer_name,email,age,gender,city,region,signup_date,customer_status,total_orders,total_spend,total_profit,average_order_value,last_purchase,total_quantity,days_since_last_purchase,has_purchased
C00001,Emma Mehta,emma.mehta1@example.com,39,Male,Delhi,North,2023-08-17,Active,3.0,406.31,128.32999999999998,135.43666666666667,2025-10-29,4.0,63.0,1
C00002,Emma Johnson,emma.johnson2@example.com,33,Male,Dehradun,North,2024-08-27,Active,4.0,605.65,245.36,151.4125,2025-11-02,7.0,59.0,1
C00003,Rohan Rao,rohan.rao3@example.com,41,Other,Delhi,North,2024-09-08,Active,5.0,953.9599999999999,388.59,190.79199999999997,2025-11-27,8.0,34.0,1
C00004,Daniel Moore,daniel.moore4@example.com,50,Other,Mysuru,South,2024-03-05,Active,9.0,2724.5,724.05,302.72222222222223,2025-12-14,15.0,17.0,1
C00005,Michael Verma,michael.verma5@example.com,32,Other,Kolkata,East,2024-03-08,Active,11.0,4307.53,1593.73,391.59363636363634,2025-12-04,25.0,27.0,1
C00006,Michael Iyer,michael.iyer6@example.com,32,Male,Bengaluru,South,2023-04-05,Active,2.0,353.90999999999997,100.69,176.95499999999998,2025-10-13,3.0,79.0,1
C00007,Divya Mehta,divya.mehta7@example.com,50,Male,Patna,East,2025-01-17,Active,15.0,4252.71,1350.58,283.514,2025-11-11,24.0,50.0,1
C00008,Arjun Johnson,arjun.johnson8@example.com,42,Female,Chandigarh,North,2025-04-29,Active,6.0,2166.09,708.05,361.01500000000004,2025-12-23,8.0,8.0,1
C00009,Rohan Moore,rohan.moore9@example.com,30,Male,Guwahati,East,2023-02-16,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00010,Isabella Rao,isabella.rao10@example.com,40,Male,Kolkata,East,2024-01-25,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00011,Ishita Das,ishita.das11@example.com,30,Male,Bhubaneswar,East,2024-11-17,Active,0.0,0.0,0.0,0.0,,0.0,0.0,0
C00012,Daniel Verma,daniel.verma12@example.com,30,Other,Amritsar,North,2025-01-16,Active,9.0,1415.21,529.67,157.24555555555557,2025-06-29,16.0,185.0,1
C00013,Vikram Miller,vikram.miller13@example.com,37,Other,Surat,West,2024-07-24,Active,1.0,70.26,14.21,70.26,2024-04-03,1.0,637.0,1
C00014,Sneha Patel,sneha.patel14@example.com,18,Female,Kolkata,East,2024-02-15,Active,2.0,462.83,140.57999999999998,231.415,2025-01-19,2.0,346.0,1
